Channel,Label_name,Lobe,Hemisphere,Cortex_Location
1,Cuneus_L,Occipital,L,Occipital Cortex
2,Cuneus_L,Occipital,L,Occipital Cortex
3,Occipital_Sup_L,Occipital,L,Occipital Cortex
4,Cuneus_L,Occipital,L,Occipital Cortex
5,Frontal_Sup_Medial_L,Frontal,L,Prefrontal Cortex
6,Frontal_Sup_L,Frontal,L,Prefrontal Cortex
7,Frontal_Sup_Medial_L,Frontal,L,Prefrontal Cortex
8,Frontal_Sup_Medial_L,Frontal,L,Prefrontal Cortex
9,Frontal_Sup_L,Frontal,L,Prefrontal Cortex
10,Frontal_Sup_L,Frontal,L,Prefrontal Cortex
11,Frontal_Sup_L,Frontal,L,Prefrontal Cortex
12,Precentral_L,Frontal,L,Motor Cortex
13,Precentral_L,Frontal,L,Motor Cortex
14,Occipital_Mid_L,Occipital,L,Occipital Cortex
15,Angular_L,Parietal,L,Parietal Cortex
16,Occipital_Sup_L,Occipital,L,Occipital Cortex
17,Occipital_Mid_L,Occipital,L,Occipital Cortex
18,Frontal_Inf_Tri_L,Frontal,L,Prefrontal Cortex
19,Frontal_Mid_L,Frontal,L,Prefrontal Cortex
20,Frontal_Sup_L,Frontal,L,Prefrontal Cortex
21,Frontal_Mid_L,Frontal,L,Prefrontal Cortex
22,Frontal_Mid_L,Frontal,L,Prefrontal Cortex
23,Postcentral_L,Parietal,L,Somatosensory Cortex
24,Postcentral_L,Parietal,L,Somatosensory Cortex
25,Parietal_Inf_L,Parietal,L,Parietal Cortex
26,SupraMarginal_L,Parietal,L,Parietal Cortex
27,Precentral_L,Frontal,L,Motor Cortex
28,Frontal_Inf_Oper_L,Frontal,L,Prefrontal Cortex
29,Postcentral_L,Parietal,L,Somatosensory Cortex
30,Angular_L,Parietal,L,Parietal Cortex
31,Temporal_Sup_L,Temporal,L,Temporal Cortex
32,Temporal_Mid_L,Temporal,L,Temporal Cortex
33,Cuneus_R,Occipital,R,Occipital Cortex
34,Occipital_Sup_R,Occipital,R,Occipital Cortex
35,Cuneus_L,Occipital,L,Occipital Cortex
36,Cuneus_R,Occipital,R,Occipital Cortex
37,Cingulum_Ant_R,Frontal,R,Prefrontal Cortex
38,Cingulum_Ant_R,Frontal,R,Prefrontal Cortex
39,Frontal_Sup_R,Frontal,R,Prefrontal Cortex
40,Frontal_Sup_R,Frontal,R,Prefrontal Cortex
41,Frontal_Sup_R,Frontal,R,Prefrontal Cortex
42,Precentral_R,Frontal,R,Motor Cortex
43,Frontal_Sup_R,Frontal,R,Prefrontal Cortex
44,Precentral_R,Frontal,R,Motor Cortex
45,Frontal_Mid_R,Frontal,R,Prefrontal Cortex
46,Occipital_Mid_R,Occipital,R,Occipital Cortex
47,Occipital_Mid_R,Occipital,R,Occipital Cortex
48,Occipital_Mid_R,Occipital,R,Occipital Cortex
49,Occipital_Mid_R,Occipital,R,Occipital Cortex
50,Frontal_Mid_R,Frontal,R,Prefrontal Cortex
51,Frontal_Inf_Tri_R,Frontal,R,Prefrontal Cortex
52,Frontal_Inf_Oper_R,Frontal,R,Prefrontal Cortex
53,Frontal_Inf_Oper_R,Frontal,R,Prefrontal Cortex
54,Frontal_Inf_Tri_R,Frontal,R,Prefrontal Cortex
55,Postcentral_R,Parietal,R,Somatosensory Cortex
56,Postcentral_R,Parietal,R,Somatosensory Cortex
57,SupraMarginal_R,Parietal,R,Parietal Cortex
58,SupraMarginal_R,Parietal,R,Parietal Cortex
59,Precentral_R,Frontal,R,Motor Cortex
60,Frontal_Inf_Oper_R,Frontal,R,Prefrontal Cortex
61,Rolandic_Oper_R,Parietal,R,Somatosensory Cortex
62,Angular_R,Parietal,R,Parietal Cortex
63,Temporal_Mid_R,Temporal,R,Temporal Cortex
64,Temporal_Mid_R,Temporal,R,Temporal Cortex